patent_number,application_number
US9416154,US20140235567A1
US9421177,US20120214858A1
US9422333,US20150175657A1
US9428465,US20150111892A1
US9428466,US20150133477A1
US9415055,US20190307766A1
US9416129,US20150284379A1
US9416132,US20140329807A1
US9422235,US20100056528A1
US9422240,US20150175541A1
US9422290,US20140135336A1
US9422299,US20160318941A1
US9422318,US20150336916A1
US9422331,US20150225449A1
US9422332,US20150210739A1
US9427442,US20150231152A1
US9428447,US20140315965A1
US9422255,US20160016921A1
US9422277,US20150274716A1
US9427440,US20140107101A1
US9428456,US20150336893A1
US9428476,US20160016923A1
US9428478,US20140194422A1
US9428491,US20130253008A1
US9428492,US20150284368A1
US9428501,US20150266869A1
US9428502,US20150210688A1
US9446064,US20140323421A1
US9447055,
US9428460,US20150191431A1
US9428500,US20150105554A1
US9428504,US20150166538A1
US9428469,US20160009666A1
US9428505,US20210024524A1
US9428503,US20190185468A1
US9428508,US20130281438A1
US9428511,US20150210703A1
US9428513,US20150133447A1
US9428514,US20150158873A1
US9433609,US20140107172A1
US9433622,US20160000784A1
US9434690,US20180086742A1
US9434692,US20210380537A1
US9434693,US20140162997A1
US9446044,US20140275064A1
US9446130,US20150353565A1
US9447057,US20150368214A1
US9447114,US20160039841A1
US9447132,US20140309189A1
US9434733,US20150045348A1
US9446026,US20190240201A1
US9447029,US20160332959A1
US9447085,US20150353516A1
US9447090,US20140088080A1
US9447091,US20180250272A1
US9447095,US20150336953A1
US9452985,US20160271278A1
US9453017,US20150025041A1
US9453018,US20220041601A1
US9453021,US20140171422A1
US9453023,US20140275005A1
US9434719,US20180051015A1
US9434724,US20160009706A1
US9434711,US20140315899A1
US9434725,US20140005168A1
US9453034,US20160016975A1
US9453038,US20150336991A1
US9453048,US20150225452A1
US9457039,US20160045526A1
US9458105,US20150291525A1
US9458135,US20160002207A1
US9458136,US20140135345A1
US9458140,US20160096825A1
US9458145,US20180282316A1
US9463192,US20190231777A1
US9464062,US20150291539A1
US9464073,US20150239869A1
US9464081,US20150322060A1
US9434697,US20200206222A1
US9434727,US20230312585A1
US9447038,US20150073004A1
US9447106,US20240254128A1
US9452980,US20160264596A1
US9464044,US20150210635A1
US9464103,US20150307533A1
US9469613,US20160347719A1
US9469627,US20190262338A1
US9469639,US20160207916A1
US9469644,US20160002243A1
US9475795,US20160376256A1
US9447148,US20180148478A1
US9452986,US20180334435A1
US9452990,US20150126492A1
US9452998,US20210387962A1
US9453031,US20160024112A1
US9464060,US20150057298A1
US9468642,US20130195848A1
US9469653,US20140142089A1
US9475779,US20160031829A1
US9475806,US20160024079A1
US9475809,US20160152613A1
US9475814,US20140275097A1
US9481668,US20160115154A1
US9458110,US20160016910A1
US9458113,US20160031830A1
US9458172,US20160355514A1
US9458176,US20140243316A1
US9464076,US20160024060A1
US9469608,US20150315141A1
US9480684,US20180030062A1
US9481685,US20110190618A1
US9487494,US20100317582A1
US9493429,US20160009667A1
US9493447,US20170096420A1
US9458171,US20150191483A1
US9458201,US20190216887A1
US9459250,US20150064112A1
US9464092,US20180221378A1
US9481673,US20190358218A1
US9493430,US20150322023A1
US9493431,US20160002187A1
US9493457,US20190359611A1
US9493474,US20140288042A1
US9505739,US20150038490A1
US9481677,US20140256736A1
US9464084,US20240116930A1
US9468661,US20150190457A1
US9469631,US20150225390A1
US9475775,US20160257653A1
US9487554,US20140249119A1
US9493412,US20140228321A1
US9493472,US20160137647A1
US9493483,US20170079984A1
US9499542,US20160102089A1
US9505734,US20170057989A1
US9505765,US20150203499A1
US9475813,US20150368245A1
US9475817,US20150344480A1
US9475819,US20160376280A1
US9481682,US20150353570A1
US9481688,US20140121199A1
US9499486,US20160096805A1
US9499493,US20210267971A1
US9499523,US20150361071A1
US9499534,US20160060256A1
US9499561,US20150246929A1
US9499570,US20150376210A1
US9475815,US20150031676A1
US9481672,US20200061063A1
US9487462,US20130303572A1
US9487483,US20150148349A1
US9487488,US20150307454A1
US9487490,US20150191434A1
US9487501,US20150218131A1
US9505743,US20150274702A1
US9505754,US20150031671A1
US9481648,US20180044288A1
US9487511,US20180162853A1
US9489013,US20160043774A1
US9492453,US20240109902A1
US9493432,US20160222030A1
US9493435,US20180072745A1
US9493440,US20160009689A1
US9493441,US20140228358A1
US9504684,US20180280387A1
US9505736,US20150203468A1
US9505773,US20160176893A1
US9522883,US20150218097A1
US9493446,US20150252032A1
US9493485,US20160272654A1
US9505753,US20150218156A1
US9505786,US20150274754A1
US9511061,US20080305162A1
US9512065,US20150191421A1
US9512068,US20160031804A1
US9512082,US20080262063A1
US9512130,US20160016959A1
US9512169,US20150210734A1
US9493486,US20200207769A1
US9493490,
US9499482,US20150218092A1
US9499492,US20150291537A1
US9499547,US20140296231A1
US9505745,US20170029412A1
US9512084,US20230312483A1
US9512114,US20160318914A1
US9512126,US20150104526A1
US9526727,US20180344734A1
US9505762,US20160046631A1
US9505780,US20150344494A1
US9512115,US20160031869A1
US9512121,US20160122339A1
US9512132,US20150376192A1
US9512141,US20150299220A1
US9522881,US20160102054A1
US9522886,US20150307452A1
US9522910,US20140213592A1
US9504692,US20140288060A1
US9522914,US20140275006A1
US9527838,US20150336946A1
US9527839,US20150197516A1
US9527851,US20140336207A1
US9532990,US20180207161A1
US9533969,US20140370121A1
US9533992,US20170081333A1
US9693992,US20150141424A1
US9693997,US20160000760A1
US9694002,US20170087136A1
US9694011,US20160120868A1
US9694012,US20170035769A1
US9694015,US20150224104A1
US9694016,US20160038504A1
US9694018,US20230109432A1
US9694024,US20180214464A1
US9695118,US20150152047A1
US9695128,US20170008854A1
US9695131,US20160244415A1
US9695132,US20160221966A1
US9695149,US20160039790A1
US9695151,US20160075687A1
US9695152,US20160075688A1
US9695160,US20180044331A1
US9695163,US20160185768A1
US9695165,US20150197519A1
US9695167,US20170369488A1
US9695168,US20190040058A1
US9695170,US20160159796A1
US9695172,US20160347749A1
US9695175,US20150218171A1
US9695176,US20180030057A1
US9695179,US20190345162A1
US9695180,US20190106426A1
US9695181,US20160176879A1
US9695183,US20160376280A1
US9695185,US20160326184A1
US9695194,US20170002021A1
US9695195,US20160185801A1
US9695197,US20150291620A1
US9695200,US20190106439A1
US9695205,US20150239893A1
US9682141,US20150030588A1
US9682953,US20150065464A1
US9682955,US20160068512A1
US9682957,US20170362200A1
US9687476,US20160051518A1
US9682959,US20170217926A1
US9682960,US20150175576A1
US9682961,US20160264555A1
US9682965,US20170342058A1
US9682966,US20150210673A1
US9682968,US20160152605A1
US9682969,US20190256505A1
US9682971,US20160046600A1
US9682980,US20150152113A1
US9682976,US20180030050A1
US9682983,US20170334918A1
US9682991,US20130065881A1
US9682993,US20160009728A1
US9682995,US20150368260A1
US9687478,US20190183867A1
US9687479,US20170258775A1
US9687483,US20160213664A1
US9687494,US20160367563A1
US9688615,US20180111894A1
US9688629,US20230192645A1
US9688638,US20170253565A1
US9688642,US20160009662A1
US9688643,US20160185736A1
US9675539,US20160220467A1
US9675571,US20160022619A1
US9675591,US20160228416A1
US9675593,US20160263090A1
US9675594,US20170020850A1
US9675605,US20160074377A1
US9688645,US20160251324A1
US9688661,US20150166512A1
US9688664,US20150099761A1
US9688668,US20150210675A1
US9688669,US20160237072A1
US9688672,US20180051015A1
US9688676,US20170129890A1
US9688678,US20150329551A1
US9688680,US20160031892A1
US9688683,US20160152624A1
US9688684,US20160311830A1
US9688695,US20150094297A1
US9688696,US20170029440A1
US9688710,US20180244708A1
US9688816,US20190153160A1
US9675612,US20160009734A1
US9675614,US20210308121A1
US9675616,US20140113896A1
US9675697,US20170281773A1
US9676701,US20160052865A1
US9676712,US20160031811A1
US9676720,US20160060221A1
US9676721,US20130295051A1
US9676728,US20160311779A1
US9676732,US20170114028A1
US9669028,US20160060261A1
US9669029,US20150290191A1
US9669031,US20210338673A1
US9669034,US20170217949A1
US9669035,US20150366873A1
US9669095,US20160130304A1
US9670136,US20180079709A1
US9670142,US20160130214A1
US9670157,US20170253561A1
US9670161,US20150274666A1
US9670181,US20140309253A1
US9670191,US20150218138A1
US9670193,US20140329825A1
US9670194,US20150087663A1
US9670195,US20150218147A1
US9670196,US20160326156A1
US9670201,US20180170928A1
US9670202,US20160297811A1
US9670203,US20190144446A1
US9670204,US20190169184A1
US9670208,US20160304519A1
US9670209,US20160039819A1
US9670210,US20210032244A1
US9670211,US20160229853A1
US9670212,US20170226131A1
US9670214,US20170349595A1
US9670220,US20150284403A1
US9676777,US20160137645A1
US9676782,US20150361081A1
US9676783,US20210002287A1
US9676786,US20190084993A1
US9676792,US20160024115A1
US9676818,US20150337009A1
US9670229,US20160251373A1
US9670230,US20150291626A1
US9670231,US20160159820A1
US9670255,US20160137704A1
US9533995,US20140315923A1
US9533999,US20150232484A1
US9540364,US20150218149A1
US9540373,US20170073352A1
US9540384,US20150087644A1
US9540352,US20150307494A1
US9540323,US20150259286A1
US9540357,
US9540388,US20160039836A1
US9539260,US20130165436A1
US9540379,US20120302564A1
US9550774,US20150368240A1
US9540396,US20140080804A1
US9546168,US20160311819A1
US9550755,US20150148374A1
US9540359,US20150266865A1
US9550781,US20140296261A1
US9556132,US20150203458A1
US9556145,US20160214960A1
US9556147,US20160002206A1
US9546153,US20150274696A1
US9550778,US20160096833A1
US9556111,US20150133510A1
US9556157,US20160130261A1
US9556170,US20150065495A1
US9556181,US20160002245A1
US10047092,US20150290190A1
US10047096,US20170253602A1
US10047097,US20210002287A1
US10047098,US20170362248A1
US10047103,US20200123160A1
US9556160,US20150203480A1
US9556191,US20160039838A1
US9561238,US20150150887A1
US9562012,US20160152570A1
US9556175,US20180291025A1
US10045974,US20190000823A1
US10047073,US20190185463A1
US10047080,US20180009800A1
US10047084,US20160304510A1
US10047093,US20210238183A1
US9555022,US20130156756A1
US9556135,US20150259308A1
US9556139,US20150232442A1
US9556143,US20150099750A1
US9556148,US20160176849A1
US9556168,US20150210687A1
US10047086,US20190040058A1
US10047118,US20170305962A1
US10052306,US20230012073A1
US10053431,US20160272596A1
US10053433,US20170101384A1
US10053434,US20190202795A1
US10053454,US20160009701A1
US10053455,US20180179195A1
US10053456,US20170029417A1
US10053458,US20170145007A1
US9546173,US20150274733A1
US9550763,US20160024072A1
US10053461,US20180127416A1
US10053462,US20170088550A1
US10053463,US20160016962A1
US10053465,US20170057965A1
US10053471,US20180002349A1
US9700563,US20160235759A1
US9701638,US20150291531A1
US9701663,US20160024056A1
US9701669,US20160185764A1
US9701670,US20150218137A1
US9701672,US20170267666A1
US9701685,US20150322076A1
US9701691,US20130178460A1
US9701693,US20140275022A1
US9707205,US20160038455A1
US9707233,US20160022685A1
US9708253,US20160326104A1
US9708266,US20170057920A1
US9708268,US20160130231A1
US9708269,US20160194285A1
US9708270,US20150274672A1
US9708272,US20160060226A1
US9708274,US20150361055A1
US9708275,US20160257656A1
US9708279,US20160257658A1
US9708295,US20160002205A1
US9708302,US20160326144A1
US9708309,US20150376177A1
US9708311,US20160214977A1
US9708313,US20160031881A1
US9708318,US20160244449A1
US9708325,US20200109144A1
US9708333,US20180009815A1
US9708336,US20160333021A1
US9708337,US20160016967A1
US9708340,US20160185795A1
US9708359,US20250084119A1
US9708370,US20150329591A1
US9533987,US20160108036A1
US9546164,US20150252038A1
US9550741,US20160096811A1
US9556130,US20160145218A1
US9556150,US20160311801A1
US9713606,US20230310373A1
US9713612,US20190142827A1
US9713651,US20250170283A1
US9714221,US20170233340A1
US9714224,US20160145213A1
US9714232,US20160244429A1
US9714234,US20160200710A1
US9714235,US20170267663A1
US9714236,US20220119372A1
US9714241,US20180162853A1
US9714242,US20190367504A1
US9714244,US20160060258A1
US9714247,US20170107215A1
US9714249,US20160096843A1
US9714252,US20150336974A1
US9714266,US20160024142A1
US9717714,US20150342931A1
US9717745,US20160324878A1
US9718760,US20150315178A1
US9718771,US20170320821A1
US9718780,US20160145210A1
US9718787,US20150368205A1
US9718790,US20130172317A1
US9718792,US20170174640A1
US9718793,US20190358241A1
US9718800,US20160272607A1
US9718803,US20160102075A1
US9718808,US20170037037A1
US9718809,US20150025068A1
US9718812,US20170008883A1
US9718814,US20180162853A1
US9718819,US20170349585A1
US9718820,US20160304518A1
US9718822,US20170114059A1
US9718828,US20170008899A1
US9718854,US20140088028A1
US9549932,US20160287604A1
US9550771,US20160272631A1
US9550775,US20160009710A1
US9718825,US20160024097A1
US9718813,US20150166529A1
US10058534,US20180169063A1
US10058540,US20170340618A1
US10058549,US20210128552A1
US10058550,US20190100510A1
US10059667,US20160332968A1
US10059668,US20170129857A1
US10059687,US20210238161A1
US10059688,US20180009782A1
US10059669,US20170313658A1
US10059695,US20190016705A1
US10059705,US20160272634A1
US10059709,US20180346465A1
US10059713,US20170158700A1
US10059720,US20170190715A1
US10064853,US20170304283A1
US10064861,US20170143713A1
US10064873,US20170252356A1
US10065928,US20170247332A1
US10065941,US20170362199A1
US10065945,US20180009796A1
US10065948,US20170101402A1
US10065950,US20120108564A1
US10065953,US20180222901A1
US10065961,US20170029429A1
US10065963,US20190062336A1
US10065967,US20170320882A1
US10065970,US20180065983A1
US10065973,US20180093999A1
US10071079,US20230255941A1
US9550796,US20160280719A1
US9556117,US20150344425A1
US9556179,US20150344481A1
US9556187,US20160102102A1
US9556188,US20240254128A1
US9556190,US20160318944A1
US10065972,US20160376289A1
US9877957,US20170273966A1
US9878996,US20170260165A1
US9879026,US20170073352A1
US9879032,US20170210755A1
US9884048,US20170266167A1
US9884814,US20150361037A1
US9951047,US20170217935A1
US9879013,US20170313705A1
US10071086,US20200155525A1
US10071110,US20170239279A1
US10071957,US20150322002A1
US10071965,US20160376235A1
US10071974,US20180339971A1
US10071984,US20170240529A1
US10071988,US20170226089A1
US10071991,US20170158678A1
US10071992,US20240140937A1
US10071994,US20180179193A1
US10071995,US20180127401A1
US10071998,US20170369484A1
US10072001,US20190016717A1
US10072003,US20170305902A1
US10072005,US20180208593A1
US10072008,US20180155343A1
US10072016,US20230312585A1
US10072025,US20170240567A1
US10072026,US20170305934A1
US10072034,US20170291917A1
US10040781,US20180370955A1
US10040788,US20170197954A1
US10040789,US20170333429A1
US10040790,US20170166564A1
US10040791,US20170313696A1
US10040798,US20180051029A1
US10040802,US20180051035A1
US10040805,US20180009828A1
US10040815,US20200239514A1
US10034861,US20210023056A1
US10034864,US20240173303A1
US10034939,US20180333492A1
US10035760,US20160257645A1
US10035761,US20180127362A1
US10035777,US20170260145A1
US10035778,US20200199079A1
US10035780,US20170217907A1
US10035792,US20180009794A1
US10035794,US20170320864A1
US10035797,US20230192687A1
US10035804,US20170204107A1
US10035814,US20170233419A1
US10028934,US20160310465A1
US10028960,US20170312280A1
US10028961,US20160220572A1
US10029993,US20170044115A1
US10030004,US20220000847A1
US10030012,US20170183338A1
US10030020,US20170327500A1
US10030025,US20160318941A1
US10030026,US20170101412A1
US10030027,US20170174693A1
US10030047,US20170233437A1
US10022352,US20160271105A1
US10022354,US20170312252A1
US10022376,US20170071946A1
US10022387,US20190060331A1
US10022461,US20180071412A1
US10023519,US20170247311A1
US10023528,US20200385335A1
US10023534,US20170355673A1
US10030016,US20240294524A1
US9884828,US20150284337A1
US9884843,US20160368893A1
US9884850,US20170096413A1
US9884860,US20160159793A1
US9884865,US20160207923A1
US9884868,US20200031832A1
US9884874,US20170174702A1
US9884878,US20150259357A1
US10023539,US20170342034A1
US10023543,US20220153706A1
US10023557,US20190002437A1
US10023559,US20170144994A1
US10023561,US20170342058A1
US10023562,US20180370956A1
US10023564,US20170240538A1
US10023570,US20190127374A1
US10023575,US20170101411A1
US10023576,US20170355698A1
US10023583,US20180022755A1
US10023592,US20180273547A1
US10077247,US20220048881A1
US10077265,US20170283412A1
US10077266,US20170283414A1
US10077269,US20190322674A1
US10077272,US20180072750A1
US10077273,US20180072751A1
US10077277,US20150361094A1
US10077289,US20160289271A1
US10080744,US20180064690A1
US10080750,US20170217905A1
US10081601,US20180009761A1
US10081602,US20170253565A1
US10081606,US20180072687A1
US10081617,US20180079743A1
US10081623,US20170283403A1
US10081629,US20170037044A1
US10081632,US20170327501A1
US10081635,US20170283421A1
US9517228,US20210023054A1
US9518000,US20160016880A1
US9518026,US20160090362A1
US9518055,US20160031882A1
US9518060,US20220089613A1
US9518064,US20150119390A1
US9566277,US20160151367A1
US9566312,US20150306172A1
US9567304,US20150141400A1
US9518052,US20150329542A1
US9567320,US20150376167A1
US9567327,US20210128552A1
US9567333,US20160039817A1
US9567338,US20140163010A1
US9567339,US20210179556A1
US9567334,US20240092777A1
US9567324,US20160194311A1
US9567341,US20160075713A1
US10085983,US20170296537A1
US10085984,US20210322409A1
US10085986,US20140248378A1
US10085988,
US10085990,US20190336506A1
US10086000,US20170360800A1
US10087143,US20190248745A1
US10087144,US20170066722A1
US10087148,US20160159751A1
US10087167,US20180099953A1
US10087178,US20170044156A1
US10087181,US20170073344A1
US10087185,US20180111933A1
US10087187,US20180002336A1
US10087188,US20170362242A1
US10087191,US20180170943A1
US10092529,US20190038578A1
US10092551,US20170246153A1
US10092556,US20160228427A1
US10092563,US20150361054A1
US10092570,US20240216377A1
US10093631,US20170197923A1
US10093635,US20180134674A1
US10093646,US20180362496A1
US10093650,US20200095221A1
US10093651,US20180086732A1
US10093655,US20240317713A1
US10093658,US20180002315A1
US10093660,US20170174668A1
US10093663,US20180009795A1
US10093664,US20180186781A1
US10092575,US20170209459A1
US10093671,US20170342069A1
US10093673,US20180030053A1
US10093683,US20170044183A1
US10093697,US20230109432A1
US9573930,US20220153706A1
US9573943,US20140128376A1
US9573957,US20150018334A1
US9573961,US20150329557A1
US9572792,US20150265573A1
US9572802,US20170362200A1
US9572811,US20150182530A1
US9573958,US20150225412A1
US10098883,US20180344739A1
US10098888,US20170290837A1
US10098900,US20170281810A1
US10098902,US20200246362A1
US10099993,US20180194710A1
US10100016,US20180265476A1
US10100018,US20160207880A1
US9579320,US20150297595A1
US9579407,US20140178304A1
US9580396,US20160264538A1
US9580411,US20150197509A1
US9580412,US20160362403A1
US9580418,US20170253587A1
US9580423,US20180008610A1
US9580432,US20160115168A1
US9580442,US20190040079A1
US9580415,US20160024080A1
US9580449,US20150259363A1
US9580437,US20160176882A1
US10100019,US20180111905A1
US10100030,US20160289206A1
US10100042,US20170210727A1
US10100045,US20180111925A1
US10100046,US20190002456A1
US10100048,US20160016932A1
US10100049,US20170121327A1
US10100051,US20180118739A1
US10100057,US20240352023A1
US10100058,US20180148457A1
US10105349,US20190000807A1
US10105367,US20190046535A1
US10106501,US20230066771A1
US10106504,US20180222864A1
US10106508,US20170355683A1
US10106510,US20170362191A1
US10106521,US20180127392A1
US10106522,US20180016251A1
US10106527,US20230286945A1
US10106534,US20180251458A1
US10106535,US20170305900A1
US10106550,US20180134722A1
US10106552,US20160318948A1
US10106553,US20170291908A1
US10106557,US20170275299A1
US10106559,US20190382416A1
US10106571,US20190085010A1
US9585879,US20160113918A1
US9585881,US20210147403A1
US9586900,US20150218093A1
US9586925,US20160002194A1
US9586942,US20150111875A1
US9586945,US20150111867A1
US9586948,US20150274708A1
US9586949,US20160229843A1
US9586950,US20150252033A1
US9586959,US20140315888A1
US9586962,US20140171430A1
US9586965,US20150210702A1
US9586970,US20160264585A1
US10111875,US20160228443A1
US10112895,US20170217882A1
US10112899,US20180244617A1
US10112907,US20180086716A1
US10112911,US20150322045A1
US10112922,US20170144986A1
US10112926,US20170037032A1
US10112928,US20150284367A1
US10112929,US20180044326A1
US10112931,US20180051015A1
US10112932,US20190263793A1
US10112934,US20240092769A1
US10112935,US20180093978A1
US10112937,US20160039809A1
US10112939,US20170226105A1
US10112940,US20250066355A1
US10112942,US20190183886A1
US10112944,US20180072728A1
US10112950,US20190106426A1
US10111866,US20180147194A1
US10112941,US20170327498A1
US10112955,US20170121346A1
US10112968,US20190100552A1
US10117858,US20210228554A1
US10117864,US20180036300A1
US10117875,US20170224699A1
US10117944,US20170014519A1
US10118894,US20170204058A1
US10118902,US20170240514A1
US10118915,US20180099954A1
US10118918,US20150361042A1
US10118929,US20190040073A1
US10118930,US20170334917A1
US10123984,US20230285340A1
US10123995,US20180000795A1
US10124003,US20190015417A1
US10124009,US20170333444A1
US10125097,US20160168088A1
US10125100,US20190330155A1
US10125101,US20180148411A1
US10125111,US20180030016A1
US10125118,US20170066742A1
US10125125,US20180155330A1
US10125133,US20170369488A1
US10125135,US20170305909A1
US10125137,US20180030056A1
US10125144,US20160237095A1
US10125145,US20170260201A1
US10125148,US20170008909A1
US10125150,US20180258105A1
US9593113,US20160185776A1
US9593121,US20150210700A1
US9593129,US20170144971A1
US9592230,US20150190395A1
US9592235,US20160296525A1
US9593105,US20190307766A1
US9593110,US20150210690A1
US9593097,US20160176850A1
US9593099,US20230116233A1
US9593100,US20230116233A1
US9593123,US20160168158A1
US9593127,US20170182011A1
US10130617,US20190038607A1
US10130619,US20190046515A1
US10130622,US20170100386A1
US10130633,US20160263122A1
US10130642,US20180050052A1
US10131645,US20180030017A1
US10131648,US20170362196A1
US10131651,US20170217942A1
US10131658,US20160376266A1
US10131663,US20240383895A1
US10131664,US20190055242A1
US10131667,US20170137424A1
US10131670,US20180170938A1
US10131673,US20170349602A1
US10131675,US20170369510A1
US10131692,US20190194257A1
US9597310,US20160235706A1
US9597317,US20160311776A1
US9597318,US20170166539A1
US9597326,US20180333406A1
US9597330,US20160038486A1
US9597333,US20170014423A1
US9598370,US20240358691A1
US9598381,US20160031838A1
US9598387,US20150232435A1
US9598396,US20150353526A1
US9598401,US20160083370A1
US9598405,US20150353535A1
US9598407,US20150158866A1
US9598410,US20160060259A1
US9598411,US20150322066A1
US9598415,US20190002465A1
US9598416,US20150080371A1
US9598421,US20190322674A1
US9598423,US20160311824A1
US9598426,US20160039835A1
US9598431,US20170066781A1
US9598436,US20160096847A1
US9598440,US20150299224A1
US9598446,US20150239894A1
US9598447,US20140128346A1
US10137110,US20170319549A1
US10137122,US20220160702A1
US10137124,US20190183886A1
US10137202,US20190105406A1
US10137210,US20180028694A1
US10138212,US20180037554A1
US10138222,US20180072703A1
US10138226,US20170320861A1
US10138228,US20170334894A1
US10138229,US20190112302A1
US10138230,US20190062324A1
US10138236,US20170275282A1
US10138240,US20180170926A1
US10138241,US20250042901A1
US10138242,US20180186789A1
US10138245,US20170114064A1
US10138249,US20190152976A1
US10138253,US20180230165A1
USRE47141,
US10143681,US20180050022A1
US10143695,US20170333442A1
US10143746,US20170252432A1
US10144715,US20170226067A1
US10143668,US20170157070A1
US10143704,US20160296548A1
US10144729,US20170334893A1
US10144731,US20160318917A1
US10144734,US20220313676A1
US10144738,US20170240552A1
US10144742,US20170174704A1
US10144746,US20180194780A1
US10149835,US20170333399A1
US10149839,US20180021316A1
US10149840,US20180000797A1
US10149841,US20180117021A1
US10150728,US20160257641A1
US10150740,US20180127381A1
US10150743,US20200317623A1
US10150747,US20180022723A1
US10150751,US20170342052A1
US10150755,US20180291002A1
US9650336,US20140288091A1
US9650358,US20140275011A1
US9650362,US20160039795A1
US9650366,US20170226094A1
US9650371,US20160326158A1
US9650377,US20170305903A1
US9649308,US20200054630A1
US9649309,US20150290194A1
US9655879,US20160058734A1
US9656955,US20140275087A1
US9656959,US20140005212A1
US9656961,US20150072971A1
US9656962,US20160340316A1
US9656968,US20190002412A1
US9656975,US20170217950A1
US9656988,US20200079754A1
US9656991,US20080286231A1
US9656996,US20160244432A1
US9657001,US20160326143A1
US9657003,US20170260206A1
US9657007,US20150087658A1
US9657009,US20150284382A1
US9657015,US20160039812A1
US9657033,US20150111877A1
US10150758,US20170088541A1
US10150759,US20180134692A1
US10150760,US20180222895A1
US10150762,US20170327492A1
US10150763,US20180086750A1
US10150764,US20160194316A1
US10150765,US20240116930A1
US10150766,US20170342066A1
US10150767,US20170342067A1
US10150787,US20180265531A1
US10155002,US20250170138A1
US10155722,US20180222853A1
US10155727,US20170275254A1
US10155731,US20160145220A1
US10155732,US20190161461A1
US10155733,US20180148425A1
US10155750,US20170320856A1
US10155751,US20180148433A1
US10155752,US20180134690A1
US10155760,US20240360131A1
US10155763,US20130018052A1
US10155764,US20170275289A1
US10155765,US20180051027A1
US10155768,US20180009818A1
US10155769,US20180111942A1
US10155775,US20180111950A1
US10155972,US20170009271A1
US10166214,US20190269650A1
US10166226,US20180153876A1
US10166229,US20190201394A1
US9603819,US20150174089A1
US9603833,US20150166525A1
US9603834,US20160228407A1
US9603836,US20150329525A1
US9603854,US20170151251A1
US9603889,US20150238558A1
US9604926,US20110280804A1
US9604931,US20130150403A1
US9604944,US20170327477A1
US9604945,US20130281495A1
US9604960,US20150126517A1
US9604977,US20150175594A1
US9604982,US20180072724A1
US9604984,US20190322661A1
US9604989,US20150368250A1
US9604998,US20160002259A1
US9605005,US20170145034A1
US9605006,US20160318952A1
US9605007,US20170304312A1
US9605008,US20160145271A1
US9605022,US20150284427A1
US9605024,US20160304560A1
US10166216,US20160243085A1
US10166239,US20250288595A1
US10166249,US20220331346A1
US10167256,US20240158347A1
US10167261,US20170217895A1
US10167264,US20170008856A1
US10167270,US20200071292A1
US10167273,US20160376256A1
US10167276,US20220119372A1
US10167279,US20180170917A1
US10167280,US20170291892A1
US10167281,US20170283409A1
US10167282,US20170298066A1
US10167285,US20170342073A1
US10167292,US20180230153A1
US10167293,US20170342082A1
US10167296,US20170260195A1
US10167299,US20170044187A1
US10167313,US20170114092A1
US9610264,US20150265557A1
US9610299,US20180338989A1
US9610322,US20160213744A1
US9611221,US20210009520A1
US9611222,US20150259293A1
US9611224,US20150353499A1
US9611229,US20150353510A1
US9611232,US20150246894A1
US9611249,US20170174657A1
US9611251,US20160046599A1
US9611252,US20200031800A1
US9611259,US20160016942A1
US9611261,US20160280695A1
US9611262,US20160075696A1
US9611265,US20250288595A1
US9611267,US20130338134A1
US9611269,US20200079783A1
US9611270,US20160031929A1
US9611275,US20150152127A1
US9611277,US20170204096A1
US10172814,US20170354620A1
US10172837,US20170079960A1
US10172843,US20190307737A1
US10172845,US20220313676A1
US10172851,US20190183886A1
US10172856,US20180289706A1
US10172858,US20160287595A1
US10172859,US20190142833A1
US10172864,US20240335448A1
US9616063,US20240335446A1
US9616064,US20140179689A1
US9617222,US20170096400A1
US9617225,US20140057911A1
US9617226,US20160068494A1
US9617239,US20130345235A1
US9617258,US20150158864A1
US9617259,US20170305900A1
US9617260,US20160280706A1
US9617261,US20160108041A1
US9617262,US20190194194A1
US9617267,US20140288070A1
US9617269,US20150218168A1
US9617271,US20150232472A1
US9617272,US20160060266A1
US9617273,US20190016731A1
US9617281,US20150166574A1
US9617282,US20160002265A1
US9617246,US20160318899A1
US9623021,US20100267767A1
US9623028,US20160008365A1
US9624159,US20160199330A1
US9624175,US20160311774A1
US9624188,US20160060237A1
US9624197,US20150322039A1
US9624198,US20160304491A1
US9624199,US20160304492A1
US9624201,US20200207741A1
US9624205,US20160152604A1
US9624210,US20150329531A1
US9624213,US20140128373A1
US9624217,US20210238174A1
US9624218,US20160251348A1
US9624228,US20170226110A1
US9624234,US20150218180A1
US9624235,US20140371259A1
US9624241,US20210188872A1
US9624243,US20170145032A1
US9624246,US20160229871A1
US9624247,US20160102107A1
US10172868,US20200306259A1
US10173985,US20180244626A1
US10173988,US20180022715A1
US10173990,US20170290795A1
US10173991,US20160326125A1
US10173995,US20150353524A1
US10174000,US20190092750A1
US10174007,US20210309644A1
US10174011,US20170158680A1
US10174013,US20170152249A1
US10174015,US20170334896A1
US10174016,US20230053411A1
US10174020,US20170029423A1
US10174023,US20180111927A1
US10174024,US20180093983A1
US10174027,US20190127374A1
US10174028,US20190127374A1
US10174030,US20210032244A1
US10174035,US20180072732A1
US10174037,US20180148453A1
US10174040,US20180162864A1
US10174044,US20180141956A1
US10174049,US20190135829A1
US10179123,US20180207137A1
US10179761,US20170107174A1
US10179769,US20210009520A1
